occurrenceID,organismID,eventDate,date,year,month,decimalLatitude,decimalLongitude,vernacularName
MacUni-zoatrack-170-000195,3529,2014-09-19T04:49:08Z,2014-09-19,2014,09,-36.39951,150.17215,Little penguin
MacUni-zoatrack-170-001195,3530,2014-09-20T11:41:02Z,2014-09-20,2014,09,-36.25566,150.22406,Little penguin
MacUni-zoatrack-170-001950,3531,2014-09-16T05:12:59Z,2014-09-16,2014,09,-37.02962,150.03053,Little penguin
MacUni-zoatrack-170-001951,3531,2014-09-16T05:14:11Z,2014-09-16,2014,09,-37.02962,150.03053,Little penguin
MacUni-zoatrack-170-001952,3531,2014-09-16T05:15:19Z,2014-09-16,2014,09,-37.0306,150.03129,Little penguin
MacUni-zoatrack-170-001953,3531,2014-09-16T05:16:51Z,2014-09-16,2014,09,-37.03118,150.03178,Little penguin
MacUni-zoatrack-170-001954,3531,2014-09-16T05:17:57Z,2014-09-16,2014,09,-37.03023,150.03163,Little penguin
MacUni-zoatrack-170-001955,3531,2014-09-16T05:19:04Z,2014-09-16,2014,09,-37.03212,150.03237,Little penguin
MacUni-zoatrack-170-001956,3531,2014-09-16T05:20:09Z,2014-09-16,2014,09,-37.03262,150.03261,Little penguin
MacUni-zoatrack-170-001957,3531,2014-09-16T05:21:16Z,2014-09-16,2014,09,-37.03306,150.03296,Little penguin
MacUni-zoatrack-170-001958,3531,2014-09-16T05:22:21Z,2014-09-16,2014,09,-37.03357,150.0334,Little penguin
MacUni-zoatrack-170-001959,3531,2014-09-16T05:23:35Z,2014-09-16,2014,09,-37.03357,150.0334,Little penguin
MacUni-zoatrack-170-002195,3532,2014-09-18T17:57:31Z,2014-09-18,2014,09,-36.26147,150.20789,Little penguin
MacUni-zoatrack-170-003195,3534,2014-09-16T18:08:01Z,2014-09-16,2014,09,-36.43947,150.08436,Little penguin
MacUni-zoatrack-170-004195,3537,2014-09-15T08:33:50Z,2014-09-15,2014,09,-36.36706,150.23416,Little penguin
MacUni-zoatrack-170-005195,3540,2014-09-12T10:12:43Z,2014-09-12,2014,09,-36.30579,150.1542,Little penguin
MacUni-zoatrack-170-006195,3542,2014-09-12T07:46:35Z,2014-09-12,2014,09,-36.28278,150.15439,Little penguin
MacUni-zoatrack-170-007195,3544,2014-09-12T07:15:21Z,2014-09-12,2014,09,-36.25578,150.22381,Little penguin
MacUni-zoatrack-170-008195,3545,2014-09-12T17:38:54Z,2014-09-12,2014,09,-36.269,150.20656,Little penguin
MacUni-zoatrack-170-009195,3547,2014-09-12T17:41:43Z,2014-09-12,2014,09,-36.26853,150.20665,Little penguin
MacUni-zoatrack-170-010195,3549,2014-09-20T05:00:01Z,2014-09-20,2014,09,-36.86963,149.98926,Little penguin
MacUni-zoatrack-195-000001,244,2008-10-16T08:32:53Z,2008-10-16,2008,10,-37.87651,144.91879,Little penguin
MacUni-zoatrack-195-000002,244,2008-10-16T08:33:52Z,2008-10-16,2008,10,-37.87679,144.91824,Little penguin
MacUni-zoatrack-195-000003,244,2008-10-16T08:39:33Z,2008-10-16,2008,10,-37.87776,144.91693,Little penguin
MacUni-zoatrack-195-000004,244,2008-10-16T08:39:50Z,2008-10-16,2008,10,-37.87777,144.91691,Little penguin
MacUni-zoatrack-195-000005,244,2008-10-16T08:39:59Z,2008-10-16,2008,10,-37.8787,144.91537,Little penguin
MacUni-zoatrack-195-000006,244,2008-10-16T08:41:23Z,2008-10-16,2008,10,-37.87887,144.91499,Little penguin
MacUni-zoatrack-195-000007,244,2008-10-16T08:41:32Z,2008-10-16,2008,10,-37.87929,144.91438,Little penguin
MacUni-zoatrack-195-000008,244,2008-10-16T08:42:39Z,2008-10-16,2008,10,-37.87945,144.91409,Little penguin
MacUni-zoatrack-195-000009,244,2008-10-16T08:44:41Z,2008-10-16,2008,10,-37.87947,144.91405,Little penguin
MacUni-zoatrack-195-000010,244,2008-10-16T08:44:56Z,2008-10-16,2008,10,-37.87971,144.91366,Little penguin
MacUni-zoatrack-195-000011,244,2008-10-16T08:45:05Z,2008-10-16,2008,10,-37.87997,144.91331,Little penguin
MacUni-zoatrack-195-000012,244,2008-10-16T08:45:15Z,2008-10-16,2008,10,-37.88019,144.91295,Little penguin
