Year,Colony,Unique ID,Clutch No.,No. eggs,No. Chicks,No. Fledglings
2012,Antechamber Bay,1136,1,2,2,1
2012,Antechamber Bay,1137,1,2,2,
2012,Antechamber Bay,1138,1,2,0,0
2012,Antechamber Bay,1139,1,1,1,0
2012,Antechamber Bay,1139,1,2,1,
2012,Antechamber Bay,1140,1,2,2,
2012,Antechamber Bay,1141,1,2,0,0
2012,Antechamber Bay,1142,1,2,0,0
2012,Antechamber Bay,1143,1,2,0,0
2012,Antechamber Bay,1144,1,2,0,0
2012,Antechamber Bay,1145,1,2,2,2
2012,Antechamber Bay,1146,1,2,0,0
2012,Antechamber Bay,1147,1,2,2,2
2012,Antechamber Bay,1148,1,2,2,2
2012,Antechamber Bay,1149,1,1,1,1
2012,Antechamber Bay,1150,1,1,1,0
2012,Antechamber Bay,1151,1,2,2,2
2012,Antechamber Bay,1152,1,2,2,2
2012,Antechamber Bay,1153,1,2,2,2
2012,Antechamber Bay,1154,1,2,0,0
2012,Antechamber Bay,1155,1,2,2,
2012,Antechamber Bay,1156,1,2,0,0
2012,Antechamber Bay,1157,1,1,1,1
2012,Antechamber Bay,1158,1,2,0,0
2012,Antechamber Bay,1159,1,2,2,0
2012,Antechamber Bay,1160,1,2,0,0
2012,Antechamber Bay,1161,1,2,2,0
2012,Antechamber Bay,1162,1,2,2,0
2012,Antechamber Bay,1163,1,2,2,2
2012,Antechamber Bay,1164,1,2,1,
2013,Antechamber Bay,720,1,2,2,1
2013,Antechamber Bay,721,1,1,1,
2013,Antechamber Bay,722,1,2,2,2
2013,Antechamber Bay,723,1,2,2,2
2013,Antechamber Bay,724,1,2,1,1
2013,Antechamber Bay,725,1,2,,
2013,Antechamber Bay,779,1,2,1,
2013,Antechamber Bay,780,1,2,2,0
2013,Antechamber Bay,781,1,2,2,0
2013,Antechamber Bay,782,1,2,0,0
2013,Antechamber Bay,783,1,1,0,0
2013,Antechamber Bay,784,1,2,1,0
2013,Antechamber Bay,785,1,2,2,
2013,Antechamber Bay,786,1,1,0,0
2013,Antechamber Bay,787,1,1,0,0
2014,Antechamber Bay,718,1,2,2,2
2014,Antechamber Bay,719,1,2,2,1
2014,Antechamber Bay,722,1,2,2,2
2014,Antechamber Bay,726,1,2,2,2
2014,Antechamber Bay,727,1,1,,
2014,Antechamber Bay,728,1,2,2,2
2014,Antechamber Bay,729,1,2,1,0
2014,Antechamber Bay,730,1,2,0,0
2014,Antechamber Bay,731,1,1,0,0
2015,Antechamber Bay,718,1,2,0,0
2015,Antechamber Bay,718,1,2,2,
2015,Antechamber Bay,722,1,2,1,0
2015,Antechamber Bay,732,1,2,1,0
2015,Antechamber Bay,733,1,2,2,2
2016,Antechamber Bay,718,1,2,1,1
2016,Antechamber Bay,719,1,2,1,
2008,Brownlow,1658,1,2,2,2
2008,Brownlow,1659,1,1,1,0
2008,Brownlow,1660,1,2,1,1
2008,Brownlow,1661,1,1,0,0
2008,Brownlow,1662,1,2,2,1
2008,Brownlow,1663,1,1,1,0
2008,Brownlow,1664,1,1,1,0
2008,Brownlow,1665,1,2,2,2
2008,Brownlow,1665,2,2,2,2
2008,Brownlow,1666,1,1,1,0
2008,Brownlow,1667,1,2,2,1
2008,Brownlow,1668,1,2,2,2
2008,Brownlow,1669,1,2,2,2
2008,Brownlow,1670,1,2,2,1
2008,Brownlow,1671,1,2,2,2
2008,Brownlow,1672,1,2,2,1
2008,Brownlow,1672,2,2,2,2
2008,Brownlow,1673,1,2,2,1
2008,Brownlow,1673,2,2,2,2
2008,Brownlow,1674,1,2,2,0
2009,Brownlow,1660,2,1,1,0
2009,Brownlow,1660,1,1,1,1
2009,Brownlow,1662,1,1,1,0
2009,Brownlow,1663,1,2,2,2
2009,Brownlow,1664,1,1,1,0
2009,Brownlow,1665,1,2,1,1
2009,Brownlow,1666,1,2,1,0
2009,Brownlow,1667,1,2,1,1
2009,Brownlow,1668,1,2,2,2
2009,Brownlow,1671,1,2,2,2
2009,Brownlow,1673,1,2,2,0
2009,Brownlow,1675,1,2,1,1
2009,Brownlow,1676,1,2,1,1
2009,Brownlow,1658,1,2,2,2
2010,Brownlow,1658,1,2,2,2
2010,Brownlow,1658,2,2,2,2
2010,Brownlow,1662,2,2,1,0
2010,Brownlow,1662,1,2,1,1
2010,Brownlow,1665,1,2,2,2
2010,Brownlow,1668,1,2,2,1
2010,Brownlow,1671,1,2,2,2
2010,Brownlow,1672,1,2,2,0
2010,Brownlow,1672,2,2,1,1
2010,Brownlow,1674,1,2,2,2
2010,Brownlow,1675,1,1,1,1
2010,Brownlow,1677,1,2,2,0
2010,Brownlow,1678,1,2,2,1
2011,Brownlow,1658,1,2,2,2
2011,Brownlow,1662,1,1,1,1
2011,Brownlow,1663,1,1,1,1
2011,Brownlow,1665,1,1,1,1
2011,Brownlow,1667,1,1,1,0
2011,Brownlow,1667,2,2,2,2
2011,Brownlow,1668,1,1,0,0
2011,Brownlow,1673,1,2,2,2
2011,Brownlow,1674,1,2,2,2
2011,Brownlow,1675,1,2,2,2
2011,Brownlow,1677,1,1,1,0
2011,Brownlow,1679,1,2,2,2
2012,Brownlow,1662,1,1,1,0
2012,Brownlow,1663,1,2,2,0
2012,Brownlow,1663,2,2,2,0
2012,Brownlow,1665,1,1,1,1
2012,Brownlow,1666,1,1,1,0
2012,Brownlow,1678,1,2,2,2
2012,Brownlow,1679,1,2,2,2
2012,Brownlow,1680,1,1,1,0
2012,Emu Bay,1165,1,2,2,0
2012,Emu Bay,1165,2,2,2,
2012,Emu Bay,1166,1,2,0,0
2012,Emu Bay,1167,1,2,2,
2012,Emu Bay,1168,1,2,2,2
2012,Emu Bay,1169,1,2,2,2
2012,Emu Bay,1170,1,2,2,2
2012,Emu Bay,1171,1,2,2,
2012,Emu Bay,1172,1,2,0,0
2012,Emu Bay,1173,1,2,2,2
2012,Emu Bay,1174,1,2,2,0
2012,Emu Bay,1174,2,2,,
2012,Emu Bay,1175,1,2,0,0
2012,Emu Bay,1176,1,2,,
2012,Emu Bay,1177,1,2,1,
2012,Emu Bay,1178,1,2,2,
2012,Emu Bay,1179,1,2,2,2
2012,Emu Bay,1180,1,2,2,1
2012,Emu Bay,1181,1,2,2,
2012,Emu Bay,1182,1,2,1,0
2012,Emu Bay,1183,1,2,2,2
2012,Emu Bay,1184,1,2,2,0
2012,Emu Bay,1185,1,2,2,2
2012,Emu Bay,1186,1,2,2,0
2012,Emu Bay,1187,1,2,2,0
2012,Emu Bay,1188,1,2,0,0
2012,Emu Bay,1189,1,2,2,0
2012,Emu Bay,1189,2,2,,
2012,Emu Bay,1190,1,2,2,
2013,Emu Bay,734,1,2,1,
2013,Emu Bay,735,1,2,0,0
2013,Emu Bay,735,2,2,2,0
2013,Emu Bay,736,1,2,0,0
2013,Emu Bay,736,2,2,2,0
2013,Emu Bay,737,1,2,2,2
2013,Emu Bay,738,1,2,2,2
2013,Emu Bay,739,1,2,2,
2013,Emu Bay,740,1,2,2,2
2013,Emu Bay,740,2,2,,
2013,Emu Bay,741,1,1,1,1
2013,Emu Bay,742,1,2,1,
2013,Emu Bay,743,1,2,2,1
2013,Emu Bay,744,1,2,1,0
2013,Emu Bay,744,2,1,,
2013,Emu Bay,745,1,1,1,1
2013,Emu Bay,745,2,2,2,1
2013,Emu Bay,747,1,1,1,1
2013,Emu Bay,748,1,1,0,0
2013,Emu Bay,749,1,2,2,
2013,Emu Bay,750,1,2,2,2
2013,Emu Bay,751,1,2,2,0
2013,Emu Bay,752,1,2,,
2014,Emu Bay,735,1,2,2,2
2014,Emu Bay,738,2,2,0,0
2014,Emu Bay,738,1,2,2,2
2014,Emu Bay,740,1,2,2,0
2014,Emu Bay,740,2,2,1,1
2014,Emu Bay,743,1,2,1,0
2014,Emu Bay,744,1,2,0,0
2014,Emu Bay,745,1,2,1,0
2014,Emu Bay,745,2,2,2,2
2014,Emu Bay,753,1,2,0,0
2014,Emu Bay,753,2,2,,
2014,Emu Bay,754,1,2,0,0
2014,Emu Bay,755,1,2,1,0
2014,Emu Bay,756,1,2,0,0
2014,Emu Bay,757,1,2,1,0
2014,Emu Bay,758,1,2,1,0
2014,Emu Bay,759,1,2,1,1
2014,Emu Bay,760,1,2,0,0
2014,Emu Bay,761,1,2,0,0
2014,Emu Bay,762,1,2,2,2
2015,Emu Bay,735,1,2,0,0
2015,Emu Bay,744,1,2,2,
2015,Emu Bay,745,1,2,2,
2015,Emu Bay,755,1,2,2,1
2015,Emu Bay,758,1,2,1,
